run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
1,20000,744.00,agent_0,744.00,955.00,935.00,1004.00,1038.00,1177.00,1033.00,937.00,907.00,909.00
1,40000,714.00,agent_8,744.00,955.00,935.00,1004.00,1038.00,1177.00,1033.00,937.00,714.00,909.00
1,60000,703.00,agent_4,744.00,955.00,935.00,1004.00,703.00,1177.00,1033.00,937.00,714.00,909.00
1,80000,703.00,agent_4,744.00,760.00,935.00,1004.00,703.00,1177.00,1033.00,937.00,714.00,909.00
1,100000,703.00,agent_4,744.00,760.00,935.00,1004.00,703.00,1177.00,782.00,937.00,714.00,909.00
1,120000,703.00,agent_4,744.00,760.00,935.00,1004.00,703.00,820.00,782.00,937.00,714.00,909.00
1,140000,702.00,agent_2,744.00,760.00,702.00,1004.00,703.00,820.00,782.00,937.00,714.00,909.00
1,160000,702.00,agent_2,744.00,760.00,702.00,773.00,703.00,820.00,782.00,709.00,714.00,909.00
1,180000,702.00,agent_2,744.00,760.00,702.00,773.00,703.00,820.00,782.00,709.00,714.00,909.00
1,200000,698.00,agent_9,744.00,760.00,702.00,773.00,703.00,820.00,782.00,709.00,714.00,698.00
