run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
9,20000,1457.00,agent_7,1740.00,2049.00,1801.00,1912.00,1889.00,1818.00,1933.00,1457.00,1804.00,1633.00
9,40000,1350.00,agent_6,1740.00,2049.00,1801.00,1912.00,1889.00,1818.00,1350.00,1457.00,1804.00,1633.00
9,60000,1215.00,agent_0,1215.00,2049.00,1801.00,1912.00,1889.00,1818.00,1350.00,1457.00,1804.00,1633.00
9,80000,1006.00,agent_3,1215.00,2049.00,1801.00,1006.00,1889.00,1818.00,1350.00,1457.00,1804.00,1633.00
9,100000,988.00,agent_9,1215.00,2049.00,1801.00,1006.00,1889.00,1818.00,1350.00,1457.00,1804.00,988.00
9,120000,988.00,agent_9,1215.00,1105.00,1801.00,1006.00,1889.00,1818.00,1350.00,1457.00,1804.00,988.00
9,140000,988.00,agent_9,1215.00,1105.00,1801.00,1006.00,1889.00,1002.00,1350.00,1457.00,1804.00,988.00
9,160000,988.00,agent_9,1215.00,1105.00,1011.00,1006.00,1043.00,1002.00,1350.00,1457.00,1804.00,988.00
9,180000,988.00,agent_9,1215.00,1105.00,1011.00,1006.00,1043.00,1002.00,1350.00,1457.00,1804.00,988.00
9,200000,956.00,agent_8,1215.00,1105.00,1011.00,1006.00,1043.00,1002.00,1350.00,1457.00,956.00,988.00
