run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
4,20000,172.00,agent_2,206.00,201.00,172.00,198.00,210.00,206.00,231.00,215.00,188.00,230.00
4,40000,172.00,agent_2,206.00,201.00,172.00,176.00,172.00,178.00,231.00,172.00,173.00,230.00
4,60000,172.00,agent_2,178.00,172.00,172.00,172.00,172.00,178.00,231.00,172.00,172.00,230.00
4,80000,172.00,agent_2,178.00,172.00,172.00,172.00,172.00,172.00,180.00,172.00,172.00,178.00
4,100000,172.00,agent_2,172.00,172.00,172.00,172.00,172.00,172.00,180.00,172.00,172.00,178.00
4,120000,172.00,agent_2,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,178.00
4,140000,172.00,agent_2,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00
4,160000,172.00,agent_2,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00
4,180000,172.00,agent_2,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00
4,200000,172.00,agent_2,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00
