run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
1,20000,509.00,agent_8,584.00,564.00,568.00,560.00,541.00,617.00,588.00,518.00,509.00,553.00
1,40000,487.00,agent_7,584.00,564.00,568.00,560.00,541.00,617.00,588.00,487.00,509.00,553.00
1,60000,487.00,agent_7,584.00,564.00,568.00,560.00,541.00,617.00,588.00,487.00,509.00,553.00
1,80000,487.00,agent_7,584.00,564.00,568.00,560.00,541.00,617.00,588.00,487.00,509.00,523.00
1,100000,487.00,agent_7,584.00,564.00,568.00,560.00,541.00,617.00,588.00,487.00,509.00,523.00
1,120000,487.00,agent_7,584.00,564.00,568.00,560.00,541.00,617.00,588.00,487.00,509.00,523.00
1,140000,458.00,agent_4,584.00,564.00,568.00,560.00,458.00,617.00,588.00,487.00,509.00,523.00
1,160000,458.00,agent_4,584.00,564.00,568.00,560.00,458.00,617.00,588.00,487.00,509.00,523.00
1,180000,458.00,agent_4,584.00,564.00,568.00,560.00,458.00,617.00,588.00,487.00,509.00,523.00
1,200000,458.00,agent_4,584.00,564.00,568.00,560.00,458.00,617.00,588.00,487.00,509.00,523.00
1,220000,458.00,agent_4,584.00,564.00,568.00,560.00,458.00,617.00,588.00,487.00,509.00,523.00
1,240000,448.00,agent_3,584.00,564.00,497.00,448.00,458.00,617.00,588.00,458.00,509.00,523.00
1,260000,448.00,agent_3,497.00,564.00,497.00,448.00,458.00,617.00,451.00,458.00,509.00,523.00
1,280000,433.00,agent_1,497.00,433.00,497.00,448.00,458.00,617.00,451.00,458.00,509.00,523.00
1,300000,433.00,agent_1,497.00,433.00,497.00,448.00,458.00,452.00,451.00,458.00,509.00,523.00
