run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
1,20000,126.00,agent_2,141.00,126.00,126.00,141.00,141.00,141.00,141.00,126.00,141.00,141.00
1,40000,126.00,agent_2,141.00,126.00,126.00,141.00,141.00,141.00,141.00,126.00,141.00,141.00
1,60000,126.00,agent_2,141.00,126.00,126.00,141.00,141.00,141.00,141.00,126.00,141.00,141.00
1,80000,122.00,agent_8,141.00,126.00,126.00,141.00,141.00,141.00,141.00,126.00,122.00,141.00
1,100000,122.00,agent_8,141.00,126.00,126.00,141.00,123.00,141.00,141.00,126.00,122.00,141.00
1,120000,122.00,agent_8,141.00,126.00,126.00,141.00,123.00,141.00,122.00,126.00,122.00,141.00
1,140000,121.00,agent_9,141.00,126.00,126.00,141.00,123.00,141.00,122.00,126.00,122.00,121.00
1,160000,121.00,agent_9,141.00,126.00,122.00,141.00,123.00,141.00,122.00,126.00,122.00,121.00
1,180000,121.00,agent_9,141.00,126.00,122.00,122.00,123.00,141.00,122.00,126.00,122.00,121.00
1,200000,118.00,agent_0,118.00,126.00,122.00,122.00,123.00,141.00,122.00,126.00,122.00,121.00
1,220000,118.00,agent_0,118.00,126.00,122.00,122.00,123.00,121.00,122.00,126.00,122.00,121.00
