run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
8,20000,181.00,agent_7,203.00,200.00,208.00,209.00,230.00,204.00,232.00,181.00,215.00,201.00
8,40000,181.00,agent_7,203.00,200.00,181.00,209.00,230.00,204.00,232.00,181.00,215.00,201.00
8,60000,181.00,agent_7,203.00,200.00,181.00,209.00,230.00,204.00,232.00,181.00,215.00,201.00
8,80000,181.00,agent_7,203.00,200.00,181.00,209.00,230.00,204.00,232.00,181.00,215.00,201.00
8,100000,176.00,agent_6,203.00,200.00,181.00,209.00,230.00,204.00,176.00,176.00,215.00,201.00
8,120000,176.00,agent_6,203.00,200.00,181.00,209.00,230.00,204.00,176.00,176.00,215.00,201.00
8,140000,176.00,agent_6,203.00,200.00,181.00,209.00,230.00,204.00,176.00,176.00,215.00,201.00
8,160000,176.00,agent_6,203.00,200.00,181.00,209.00,230.00,204.00,176.00,176.00,215.00,181.00
8,180000,176.00,agent_6,203.00,200.00,181.00,209.00,230.00,204.00,176.00,176.00,181.00,181.00
8,200000,176.00,agent_6,203.00,179.00,181.00,209.00,230.00,204.00,176.00,176.00,181.00,181.00
8,220000,176.00,agent_6,203.00,179.00,181.00,209.00,230.00,178.00,176.00,176.00,181.00,181.00
8,240000,176.00,agent_6,203.00,179.00,176.00,209.00,230.00,178.00,176.00,176.00,181.00,181.00
8,260000,173.00,agent_3,203.00,179.00,176.00,173.00,230.00,178.00,176.00,176.00,181.00,181.00
8,280000,173.00,agent_3,203.00,179.00,176.00,173.00,173.00,178.00,176.00,176.00,181.00,181.00
8,300000,173.00,agent_3,173.00,179.00,176.00,173.00,173.00,178.00,176.00,176.00,181.00,181.00
