run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
1,20000,816.00,agent_9,1281.00,1029.00,1215.00,1170.00,971.00,953.00,1052.00,1060.00,1062.00,816.00
1,40000,816.00,agent_9,1281.00,1029.00,1215.00,911.00,971.00,953.00,1052.00,1060.00,1062.00,816.00
1,60000,784.00,agent_6,1281.00,1029.00,1215.00,911.00,971.00,953.00,784.00,1060.00,1062.00,816.00
1,80000,707.00,agent_5,1281.00,1029.00,1215.00,911.00,971.00,707.00,784.00,1060.00,1062.00,816.00
1,100000,707.00,agent_5,1281.00,1029.00,1215.00,911.00,723.00,707.00,784.00,1060.00,1062.00,816.00
1,120000,707.00,agent_5,1281.00,789.00,1215.00,911.00,723.00,707.00,784.00,1060.00,1062.00,816.00
1,140000,707.00,agent_5,1281.00,789.00,707.00,911.00,723.00,707.00,784.00,1060.00,1062.00,816.00
1,160000,684.00,agent_7,1281.00,789.00,707.00,911.00,723.00,707.00,784.00,684.00,1062.00,816.00
1,180000,674.00,agent_8,1281.00,789.00,707.00,911.00,723.00,707.00,784.00,684.00,674.00,816.00
1,200000,674.00,agent_8,720.00,789.00,707.00,911.00,723.00,707.00,784.00,684.00,674.00,816.00
