run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
6,20000,1309.00,agent_6,1898.00,1685.00,1811.00,2062.00,2135.00,1497.00,1309.00,2123.00,1949.00,2147.00
6,40000,1309.00,agent_6,1898.00,1685.00,1811.00,1495.00,2135.00,1497.00,1309.00,2123.00,1949.00,2147.00
6,60000,1124.00,agent_1,1898.00,1124.00,1811.00,1495.00,2135.00,1497.00,1309.00,2123.00,1949.00,2147.00
6,80000,1049.00,agent_5,1898.00,1124.00,1811.00,1495.00,2135.00,1049.00,1309.00,2123.00,1949.00,2147.00
6,100000,1017.00,agent_9,1898.00,1124.00,1811.00,1495.00,2135.00,1049.00,1309.00,2123.00,1949.00,1017.00
6,120000,1017.00,agent_9,1898.00,1124.00,1131.00,1495.00,2135.00,1049.00,1309.00,2123.00,1949.00,1017.00
6,140000,976.00,agent_4,1898.00,1124.00,1131.00,1495.00,976.00,1049.00,1309.00,2123.00,1949.00,1017.00
6,160000,976.00,agent_4,1898.00,1124.00,1131.00,1495.00,976.00,1049.00,1309.00,1124.00,1949.00,1017.00
6,180000,976.00,agent_4,1016.00,1124.00,1131.00,1495.00,976.00,1049.00,1309.00,1124.00,1949.00,1017.00
6,200000,915.00,agent_8,1016.00,1124.00,1131.00,1495.00,976.00,1049.00,1309.00,1124.00,915.00,1017.00
