run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
7,20000,1135.00,agent_2,1806.00,1544.00,1135.00,1783.00,1837.00,1644.00,1475.00,1843.00,1761.00,2022.00
7,40000,1135.00,agent_2,1806.00,1544.00,1135.00,1783.00,1837.00,1202.00,1475.00,1843.00,1761.00,2022.00
7,60000,1135.00,agent_2,1806.00,1544.00,1135.00,1348.00,1837.00,1202.00,1475.00,1843.00,1761.00,2022.00
7,80000,1007.00,agent_6,1806.00,1544.00,1135.00,1348.00,1837.00,1202.00,1007.00,1843.00,1761.00,2022.00
7,100000,992.00,agent_0,992.00,1544.00,1135.00,1348.00,1837.00,1202.00,1007.00,1843.00,1761.00,2022.00
7,120000,986.00,agent_8,992.00,1544.00,1135.00,1348.00,1837.00,1202.00,1007.00,1843.00,986.00,2022.00
7,140000,940.00,agent_9,992.00,1544.00,1135.00,1348.00,1837.00,1202.00,1007.00,1843.00,986.00,940.00
7,160000,909.00,agent_7,992.00,1544.00,1135.00,1348.00,1837.00,1202.00,1007.00,909.00,986.00,940.00
7,180000,909.00,agent_7,992.00,932.00,1135.00,1348.00,1837.00,1202.00,1007.00,909.00,986.00,940.00
7,200000,909.00,agent_7,992.00,932.00,1135.00,1348.00,936.00,1202.00,1007.00,909.00,986.00,940.00
