run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
8,20000,1367.00,agent_6,2015.00,1942.00,1934.00,1967.00,1872.00,2145.00,1367.00,1499.00,1734.00,1439.00
8,40000,1015.00,agent_9,2015.00,1942.00,1934.00,1967.00,1872.00,2145.00,1367.00,1499.00,1734.00,1015.00
8,60000,996.00,agent_7,2015.00,1942.00,1934.00,1967.00,1872.00,2145.00,1367.00,996.00,1734.00,1015.00
8,80000,996.00,agent_7,2015.00,1942.00,1934.00,1967.00,1872.00,2145.00,1367.00,996.00,1159.00,1015.00
8,100000,996.00,agent_7,2015.00,1942.00,1934.00,1967.00,1281.00,2145.00,1367.00,996.00,1159.00,1015.00
8,120000,996.00,agent_7,2015.00,1942.00,1934.00,1967.00,1281.00,999.00,1367.00,996.00,1159.00,1015.00
8,140000,996.00,agent_7,2015.00,1942.00,1934.00,1083.00,1281.00,999.00,1367.00,996.00,1159.00,1015.00
8,160000,994.00,agent_2,2015.00,1942.00,994.00,1083.00,1281.00,999.00,1367.00,996.00,1159.00,1015.00
8,180000,994.00,agent_2,1084.00,1942.00,994.00,1083.00,1281.00,999.00,1367.00,996.00,1159.00,1015.00
8,200000,994.00,agent_2,1084.00,1064.00,994.00,1083.00,1281.00,999.00,1367.00,996.00,1159.00,1015.00
