run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
8,20000,1469.00,agent_6,1922.00,1669.00,1552.00,1857.00,1973.00,1752.00,1469.00,1860.00,2209.00,1980.00
8,40000,1249.00,agent_5,1922.00,1669.00,1552.00,1857.00,1973.00,1249.00,1469.00,1860.00,2209.00,1980.00
8,60000,996.00,agent_3,1922.00,1669.00,1552.00,996.00,1973.00,1249.00,1469.00,1860.00,2209.00,1980.00
8,80000,996.00,agent_3,1377.00,1669.00,1552.00,996.00,1973.00,1249.00,1469.00,1860.00,2209.00,1980.00
8,100000,996.00,agent_3,1377.00,1669.00,1552.00,996.00,1973.00,1249.00,1469.00,1860.00,2209.00,1399.00
8,120000,996.00,agent_3,1377.00,1669.00,1171.00,996.00,1973.00,1249.00,1469.00,1860.00,2209.00,1399.00
8,140000,988.00,agent_1,1377.00,988.00,1171.00,996.00,1973.00,1249.00,1469.00,1860.00,2209.00,1399.00
8,160000,988.00,agent_1,1377.00,988.00,1171.00,996.00,1973.00,1249.00,1469.00,1860.00,1095.00,1399.00
8,180000,942.00,agent_7,1377.00,988.00,1171.00,996.00,1973.00,1249.00,1469.00,942.00,1095.00,1399.00
8,200000,942.00,agent_7,1377.00,988.00,1171.00,996.00,943.00,1249.00,1469.00,942.00,1095.00,1399.00
