run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
3,20000,175.00,agent_8,209.00,183.00,202.00,220.00,206.00,215.00,202.00,205.00,175.00,230.00
3,40000,172.00,agent_2,209.00,183.00,172.00,220.00,206.00,215.00,202.00,205.00,175.00,230.00
3,60000,172.00,agent_2,209.00,183.00,172.00,220.00,206.00,215.00,173.00,205.00,175.00,230.00
3,80000,170.00,agent_5,209.00,183.00,172.00,220.00,206.00,170.00,173.00,205.00,175.00,230.00
3,100000,168.00,agent_0,168.00,183.00,172.00,220.00,206.00,170.00,173.00,205.00,175.00,230.00
3,120000,167.00,agent_7,168.00,183.00,172.00,220.00,206.00,170.00,173.00,167.00,175.00,230.00
3,140000,167.00,agent_7,168.00,183.00,172.00,220.00,206.00,170.00,173.00,167.00,175.00,175.00
3,160000,167.00,agent_7,168.00,183.00,172.00,171.00,206.00,170.00,173.00,167.00,175.00,175.00
3,180000,166.00,agent_1,168.00,166.00,172.00,171.00,206.00,170.00,173.00,167.00,175.00,175.00
3,200000,166.00,agent_1,168.00,166.00,172.00,171.00,176.00,170.00,173.00,167.00,175.00,175.00
