run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
9,20000,197.00,agent_3,310.00,293.00,292.00,197.00,315.00,323.00,208.00,295.00,207.00,315.00
9,40000,195.00,agent_8,310.00,293.00,292.00,197.00,315.00,323.00,208.00,295.00,195.00,315.00
9,60000,195.00,agent_8,310.00,293.00,292.00,197.00,315.00,323.00,208.00,295.00,195.00,315.00
9,80000,195.00,agent_8,195.00,293.00,292.00,197.00,315.00,323.00,208.00,223.00,195.00,315.00
9,100000,195.00,agent_8,195.00,293.00,292.00,197.00,201.00,323.00,208.00,195.00,195.00,315.00
9,120000,195.00,agent_8,195.00,293.00,292.00,197.00,195.00,323.00,208.00,195.00,195.00,315.00
9,140000,195.00,agent_8,195.00,293.00,292.00,196.00,195.00,323.00,208.00,195.00,195.00,315.00
9,160000,195.00,agent_8,195.00,213.00,292.00,196.00,195.00,323.00,208.00,195.00,195.00,315.00
9,180000,192.00,agent_0,192.00,213.00,292.00,196.00,195.00,323.00,208.00,195.00,195.00,315.00
9,200000,192.00,agent_0,192.00,213.00,292.00,196.00,195.00,199.00,208.00,195.00,195.00,315.00
9,220000,192.00,agent_0,192.00,213.00,292.00,196.00,195.00,199.00,208.00,195.00,192.00,315.00
9,240000,192.00,agent_0,192.00,213.00,292.00,196.00,195.00,199.00,194.00,195.00,192.00,315.00
9,260000,190.00,agent_4,192.00,213.00,292.00,196.00,190.00,199.00,194.00,195.00,192.00,315.00
9,280000,187.00,agent_2,192.00,213.00,187.00,196.00,190.00,199.00,194.00,195.00,192.00,315.00
9,300000,187.00,agent_2,192.00,213.00,187.00,196.00,190.00,199.00,194.00,192.00,192.00,315.00
9,320000,187.00,agent_2,192.00,213.00,187.00,196.00,190.00,199.00,194.00,192.00,192.00,193.00
