run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
6,20000,437.00,agent_2,589.00,561.00,437.00,471.00,546.00,583.00,572.00,549.00,533.00,514.00
6,40000,434.00,agent_8,589.00,561.00,437.00,471.00,546.00,583.00,572.00,549.00,434.00,514.00
6,60000,434.00,agent_8,589.00,561.00,437.00,471.00,546.00,583.00,572.00,549.00,434.00,442.00
6,80000,434.00,agent_8,502.00,561.00,437.00,471.00,546.00,583.00,572.00,549.00,434.00,442.00
6,100000,434.00,agent_8,502.00,561.00,437.00,471.00,546.00,435.00,572.00,549.00,434.00,442.00
6,120000,434.00,agent_8,502.00,561.00,437.00,471.00,546.00,435.00,434.00,549.00,434.00,442.00
6,140000,434.00,agent_8,502.00,561.00,437.00,471.00,461.00,435.00,434.00,549.00,434.00,442.00
6,160000,434.00,agent_8,502.00,561.00,437.00,471.00,461.00,435.00,434.00,447.00,434.00,442.00
6,180000,432.00,agent_3,502.00,561.00,437.00,432.00,461.00,435.00,434.00,447.00,434.00,442.00
6,200000,432.00,agent_3,502.00,443.00,437.00,432.00,461.00,435.00,434.00,447.00,434.00,442.00
