run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
9,20000,679.00,agent_8,918.00,868.00,1197.00,1174.00,1159.00,1194.00,947.00,958.00,679.00,1069.00
9,40000,665.00,agent_1,918.00,665.00,1197.00,1174.00,1159.00,1194.00,947.00,958.00,679.00,1069.00
9,60000,665.00,agent_1,720.00,665.00,1197.00,1174.00,1159.00,1194.00,947.00,958.00,679.00,1069.00
9,80000,665.00,agent_1,720.00,665.00,1197.00,1174.00,1159.00,1194.00,947.00,706.00,679.00,1069.00
9,100000,665.00,agent_1,720.00,665.00,1197.00,1174.00,1159.00,732.00,947.00,706.00,679.00,1069.00
9,120000,665.00,agent_1,720.00,665.00,1197.00,1174.00,1159.00,732.00,775.00,706.00,679.00,1069.00
9,140000,665.00,agent_1,720.00,665.00,1197.00,1174.00,671.00,732.00,775.00,706.00,679.00,1069.00
9,160000,665.00,agent_1,720.00,665.00,1197.00,706.00,671.00,732.00,775.00,706.00,679.00,1069.00
9,180000,665.00,agent_1,720.00,665.00,1197.00,706.00,671.00,732.00,775.00,706.00,679.00,707.00
9,200000,665.00,agent_1,720.00,665.00,807.00,706.00,671.00,732.00,775.00,706.00,679.00,707.00
