run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
10,20000,696.00,agent_3,1177.00,938.00,1120.00,696.00,1077.00,1126.00,952.00,953.00,1007.00,1041.00
10,40000,681.00,agent_8,1177.00,938.00,1120.00,696.00,1077.00,1126.00,952.00,953.00,681.00,1041.00
10,60000,681.00,agent_8,1177.00,938.00,1120.00,696.00,1077.00,1126.00,952.00,741.00,681.00,1041.00
10,80000,679.00,agent_0,679.00,938.00,1120.00,696.00,1077.00,1126.00,952.00,741.00,681.00,1041.00
10,100000,663.00,agent_9,679.00,938.00,1120.00,696.00,1077.00,1126.00,952.00,741.00,681.00,663.00
10,120000,663.00,agent_9,679.00,938.00,1120.00,696.00,1077.00,807.00,952.00,741.00,681.00,663.00
10,140000,663.00,agent_9,679.00,938.00,1120.00,696.00,1077.00,807.00,677.00,741.00,681.00,663.00
10,160000,663.00,agent_9,679.00,724.00,1120.00,696.00,1077.00,807.00,677.00,741.00,681.00,663.00
10,180000,663.00,agent_9,679.00,724.00,1120.00,696.00,850.00,807.00,677.00,741.00,681.00,663.00
10,200000,663.00,agent_9,679.00,724.00,681.00,696.00,850.00,807.00,677.00,741.00,681.00,663.00
