run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
7,20000,195.00,agent_2,292.00,320.00,195.00,295.00,222.00,310.00,216.00,312.00,207.00,216.00
7,40000,194.00,agent_7,292.00,320.00,195.00,295.00,222.00,310.00,216.00,194.00,207.00,216.00
7,60000,193.00,agent_8,292.00,320.00,195.00,295.00,222.00,310.00,216.00,194.00,193.00,216.00
7,80000,193.00,agent_8,292.00,201.00,195.00,295.00,222.00,310.00,216.00,194.00,193.00,216.00
7,100000,193.00,agent_8,292.00,201.00,195.00,295.00,222.00,310.00,216.00,194.00,193.00,196.00
7,120000,193.00,agent_8,292.00,201.00,195.00,295.00,222.00,310.00,195.00,194.00,193.00,196.00
7,140000,193.00,agent_8,196.00,201.00,195.00,295.00,222.00,310.00,195.00,194.00,193.00,196.00
7,160000,193.00,agent_8,196.00,201.00,195.00,295.00,208.00,310.00,195.00,194.00,193.00,196.00
7,180000,193.00,agent_8,196.00,201.00,195.00,198.00,208.00,310.00,195.00,194.00,193.00,196.00
7,200000,193.00,agent_8,196.00,201.00,195.00,198.00,208.00,201.00,195.00,194.00,193.00,196.00
