run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
5,20000,195.00,agent_3,226.00,216.00,295.00,195.00,206.00,256.00,207.00,325.00,211.00,316.00
5,40000,192.00,agent_4,226.00,216.00,295.00,195.00,192.00,256.00,207.00,325.00,211.00,316.00
5,60000,187.00,agent_1,226.00,187.00,295.00,195.00,192.00,256.00,207.00,325.00,211.00,316.00
5,80000,187.00,agent_1,226.00,187.00,295.00,195.00,192.00,195.00,207.00,325.00,211.00,316.00
5,100000,187.00,agent_1,199.00,187.00,295.00,195.00,192.00,195.00,207.00,325.00,211.00,316.00
5,120000,187.00,agent_1,199.00,187.00,295.00,195.00,192.00,195.00,191.00,325.00,211.00,316.00
5,140000,187.00,agent_1,199.00,187.00,295.00,195.00,192.00,195.00,191.00,189.00,211.00,316.00
5,160000,187.00,agent_1,199.00,187.00,187.00,195.00,192.00,195.00,191.00,189.00,211.00,316.00
5,180000,187.00,agent_1,199.00,187.00,187.00,195.00,192.00,195.00,191.00,189.00,211.00,190.00
5,200000,187.00,agent_1,199.00,187.00,187.00,195.00,192.00,195.00,191.00,189.00,192.00,190.00
